City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,lebanon,36.2081,-86.2911,12.49,76,100,4.12,US,1733692762
284,nishinoomote,30.7333,131.0,11.82,56,0,8.06,JP,1733693192
285,kidal,18.4411,1.4078,17.74,12,40,4.67,ML,1733693193
286,colonia,50.9333,6.95,5.54,87,75,4.63,DE,1733693194
287,urumqi,43.801,87.6005,-9.47,86,75,2.0,CN,1733693195
288,marsh harbour,26.5412,-77.0636,21.45,62,9,4.98,BS,1733693196
289,yeed,4.55,43.0333,28.74,25,100,4.48,SO,1733693115
290,songyang,34.4553,113.0281,2.23,50,99,1.04,CN,1733693199
291,port macquarie,-31.4333,152.9167,21.71,99,99,0.45,AU,1733693200
292,yemetsk,63.4721,41.7941,-7.19,93,100,2.62,RU,1733693201
293,shindand,33.3029,62.1474,-0.16,46,0,1.99,AF,1733693202
294,takoradi,4.8845,-1.7554,27.0,82,8,2.7,GH,1733693203
295,tomatlan,19.9333,-105.25,32.0,43,100,2.13,MX,1733693204
296,hanzhong,33.0728,107.0303,4.59,55,73,0.26,CN,1733693205
297,kimberley,-28.7323,24.7623,20.83,26,18,0.51,ZA,1733693206
298,port elizabeth,-33.918,25.5701,21.29,85,100,2.57,ZA,1733693208
299,inarajan village,13.2736,144.7484,27.66,86,50,5.82,GU,1733693209
300,chela,34.069,104.4619,-5.6,97,100,0.98,CN,1733693210
301,wenchang,30.904,118.4887,2.52,58,65,2.04,CN,1733693211
302,vila do maio,15.1333,-23.2167,24.59,74,100,6.07,CV,1733693212
303,ishigaki,24.3448,124.1572,19.07,68,75,5.14,JP,1733693063
304,nadym,65.5333,72.5167,-14.03,89,100,7.76,RU,1733693214
305,ta`u,-14.2336,-169.5144,24.08,92,100,0.99,AS,1733693215
306,sandnessjoen,66.0217,12.6316,4.12,65,75,4.12,NO,1733693216
307,torrington,41.8007,-73.1212,7.8,64,99,1.34,US,1733693218
308,armacao de buzios,-22.7469,-41.8817,25.09,91,90,4.08,BR,1733693219
